"N","d","K","max_iter","runs","seed","P","serial_time_mean","serial_time_std","mpi_time_mean","mpi_time_std","speedup","efficiency","cost"
"100000","16","8","20","3","42","1","120.0507","2.6981","128.0233","3.9426","0.9377","0.9377","128.0233"
"100000","16","8","20","3","42","2","120.0507","2.6981","69.324","1.19","1.7317","0.8659","138.648"
"100000","16","8","20","3","42","4","120.0507","2.6981","41.8878","1.3756","2.866","0.7165","167.5513"
"100000","16","8","20","3","42","8","120.0507","2.6981","28.4112","0.7012","4.2255","0.5282","227.2896"
"500000","16","8","20","3","42","1","555.7227","34.7742","605.954","15.0902","0.9171","0.9171","605.954"
"500000","16","8","20","3","42","2","555.7227","34.7742","342.9343","3.8357","1.6205","0.8102","685.8687"
"500000","16","8","20","3","42","4","555.7227","34.7742","196.0817","5.6944","2.8341","0.7085","784.3267"
"500000","16","8","20","3","42","8","555.7227","34.7742","131.004","13.1056","4.242","0.5303","1048.032"
"1000000","16","8","20","3","42","1","1122.1333","19.6131","1249.5233","47.4301","0.898","0.898","1249.5233"
"1000000","16","8","20","3","42","2","1122.1333","19.6131","695.7147","8.8993","1.6129","0.8065","1391.4293"
"1000000","16","8","20","3","42","4","1122.1333","19.6131","405.357","8.6994","2.7683","0.6921","1621.428"
"1000000","16","8","20","3","42","8","1122.1333","19.6131","241.0883","5.0728","4.6544","0.5818","1928.7067"
"2000000","16","8","20","3","42","1","2365.3167","41.7667","2554.75","41.3475","0.9259","0.9259","2554.75"
"2000000","16","8","20","3","42","2","2365.3167","41.7667","1304.0567","59.5754","1.8138","0.9069","2608.1133"
"2000000","16","8","20","3","42","4","2365.3167","41.7667","764.4593","8.2805","3.0941","0.7735","3057.8373"
"2000000","16","8","20","3","42","8","2365.3167","41.7667","490.5953","24.1122","4.8213","0.6027","3924.7627"
